CODIGO,CATEGORIA,SUB CATEGORIA,PROVEDOR,DESCRIPCION
CURVA PG 114,TUBERIA,1 1/4,DIMEGSA,CODO CON ROSCA DE 1 1/4 PULG OMEGA
TUBO AJUSTE 12,TUBERIA,,DIMEGSA,TUBO AJUSTE DE 1/2 PULG S/COPLE OMEGA
TUBO PG 34,TUBERIA,,DIMEGSA,TUBO CON ROSCA DE 3/4 PULG C/COPLE OMEGA
TUBO PG 1,TUBERIA,1,DIMEGSA,TUBO CON ROSCA DE 1 PULG C/COPLE OMEGA
TUBO PG 114,TUBERIA,1 1/4,DIMEGSA,TUBO CON ROSCA DE 1 1/4 PULG C/COPLE OMEGA
COPLE ROSCADO 34,TUBERIA,,DIMEGSA,COPLE CON ROSCA DE 3/4 PULG OMEGA
COPLE ROSCADO 1,TUBERIA,1,DIMEGSA,COPLE CON ROSCA DE 1 PULG OMEGA
COPLE ROSCADO 114,TUBERIA,1 1/4,DIMEGSA,COPLE CON ROSCA DE 1 1/4 PULG OMEGA
ZAPATA C.10,CORRIENTE ALTERNA,CONECTORES,DIMEGSA,TERMINAL OJILLO AMARILLA 1/4 CH TCA314
ZAPATA C.8,CORRIENTE ALTERNA,CONECTORES,DIMEGSA,TERMINAL OJILLO DESNUDA CAL. 8 1/4 TCW043
UNICANAL 4X2 C.16,TUBERIA,SUJECION,DIMEGSA,UNICANAL DE 3 MTS 4X2 SENCILLO CAL. 16
BASE M 7100,MEDIA TENSION,BASE,DIMEGSA,BASE P WATHORIMETRO 100A 7 MOR NO INCLUYE CONEC C HAMMER RESI
BASE M 7200,MEDIA TENSION,BASE,DIMEGSA,BASE P WATHORIMETRO 200A 7 MORDAZAS NO INCLUYE CONECTOR C HAMMER RESI
CINCHO T14 35cm NEGRO,CONSUMIBLES,CINCHOS,DIMEGSA,CINCHO NEGRO T14 35CM X 4.8M PTRPAF 001-CWD
CENTRO DE CARGA 12P 3F,CORRIENTE ALTERNA,GABINETE,DIMEGSA,QO CENTRO CARGA 12P ZAP 125 PLUG ON PTRS1B 002-FDT
ITM 2X20A,CORRIENTE ALTERNA,PROTECCIONES,DIMEGSA,INT 20 AMP 2 POLOS PTRS1B 001-FDR
ITM 2X30A,CORRIENTE ALTERNA,PROTECCIONES,DIMEGSA,INT 30 AMP 2 POLOS PTRS1B 001-FDR
ITM 2X40A,CORRIENTE ALTERNA,PROTECCIONES,DIMEGSA,INT 40 AMP 2 POLOS PTRS1B 001-FDR
ITM 2X50A,CORRIENTE ALTERNA,PROTECCIONES,DIMEGSA,INT 50 AMP 2 POLOS PTRS1B 001-FDR
ITM 2X60A,CORRIENTE ALTERNA,PROTECCIONES,DIMEGSA,INT TERMOMAG QO 2P 60 A PTRS1B 001-FDR
FRENTE DE CC 30P,CORRIENTE ALTERNA,GABINETE,DIMEGSA,FRENTE P C DE CARGA PTRS1B 002-FDT
CENTRO DE CARGA 30P 3F,CORRIENTE ALTERNA,GABINETE,DIMEGSA,CENTRO DE CARGA PTRS1B 002-FDT
GLANDULA N 114 DROF,CORRIENTE ALTERNA,1,DIMEGSA,CONECTOR GLANDULA NYLON NEGRO 1 1/4 DROF
GLANDULA N 34 DROF,CORRIENTE ALTERNA,,DIMEGSA,CONECTOR GLANDULA NYLON NEGRO 3/4 DROF
EMPALME BIMETALICO C.1/0,MEDIA TENSION,CONECTORES,DIMEGSA,CONECTOR PURO T.MINIMA CAL. 1/0 HOMAC
ZAPATA LARGA C.1/0 - 516,CORRIENTE ALTERNA,CONECTORES,DIMEGSA,ZAPATA CANON LARGO 1 OJILLO CAL 1/0 5/16
ZAPATA LARGA C.6 - 14,CORRIENTE ALTERNA,CONECTORES,DIMEGSA,ZAPATA CANON LARGO 1 OJILLO CAL 6 1/4
CABLE C.6 THW,CORRIENTE ALTERNA,CABLE,DIMEGSA,CABLE THW CAL 6 NEGRO INDIANA SLY291
CALBLE DES C.2,CORRIENTE ALTERNA,CABLE,DIMEGSA,CABLE COBRE DESNUDO CAL 2
UNICANAL R 4,TUBERIA,4,DIMEGSA,ABRAZADERA UNICANAL DE 4 REFORZADO
CINTA AISLANTE TEMFLEX AMARILLA,CONSUMIBLES,AISLANTES,DIMEGSA,CINTA DE PVC TEMFLEX 165 AMARILLO .019 X 18M 3M UU009472653
CURVA PG 4,TUBERIA,4,DIMEGSA,CODO CON ROSCA DE 4 PULG OMEGA
TUBO PG 4,TUBERIA,4,DIMEGSA,TUBO CON ROSCA DE 4 PULG C/COPLE OMEGA
TUBO PVC 4,TUBERIA,4,DIMEGSA,TUBO T/PESADO DE 4 PULG PVC
CINCHO T12 30cm BLANCO,CONSUMIBLES,CINCHOS,DIMEGSA,CINCHO BLANCO T12 30CM X 4.8M PTRPAF 001-CWD
CABLE XLP 1/0,MEDIA TENSION,CABLE,DIMEGSA,CABLE ENERGIA XLP AL 25KV 1/0 AISLAMIENTO 100 S/CINTAS BLOQ KOBREX
CURVA PG 3,TUBERIA,3,DIMEGSA,CODO CON ROSCA DE 3 PULG OMEGA
TUBO PG 3,TUBERIA,3,DIMEGSA,TUBO CON ROSCA DE 3 PULG C/COPLE OMEGA
SIEMENS 200A CON ZAPATAS,CORRIENTE ALTERNA,PROTECCIONES,DIMEGSA,INTERRUPTOR TERMOMAGNETICO SENTRON FXD 200A CON ZAPATAS
MONITOR 212,TUBERIA,2 1/2,DIMEGSA,MONITOR METALICO EN ZINC DE 2 1/2
MONITOR 3,TUBERIA,3,DIMEGSA,MONITOR METALICO EN ZINC DE 3
CONTRA 212,TUBERIA,2 1/2,DIMEGSA,CONTRATUERCA DE 2 1/2
CONTRA 3,TUBERIA,3,DIMEGSA,CONTRATUERCA DE 3
CONAJUST 212,TUBERIA,2 1/2,DIMEGSA,CONECTOR AJUSTE DE 2 1/2
UNICANAL R 3,TUBERIA,3,DIMEGSA,ABRAZADERA UNICANAL DE 3 REFORZADO
TERMOCONTRACTIL C.4/0-400,CONSUMIBLES,AISLANTES,DIMEGSA,TUBO TERMOCONTRACTIL CAL 4/0-400 1.20MTS 3M 80610692156
TERMOCONTRACTIL C.1000-2500,CONSUMIBLES,AISLANTES,DIMEGSA,TUBO TERMOCONTRACTIL CAL 1000-2500 1.20MTS 3M 80610677595
CABLE TETRAPOLAR 4X300+1X2,MEDIA TENSION,CABLE,DIMEGSA,CABLE AL TETRAPOLAR 4X300+1X2 MC LS S8000 S/C VIAKON ST90
CABLE C.3/0 THW,CORRIENTE ALTERNA,CABLE,DIMEGSA,CABLE THW CAL 3/0 NEGRO INDIANA SLY347
ZAPATA LARGA 2 OJILLOS C.3/0 - 12,CORRIENTE ALTERNA,CONECTORES,DIMEGSA,ZAPATA CANON LARGO 2 OJILLOS CAL 3/0 1/2 02004867
GAB S421,CORRIENTE ALTERNA,GABINETE,DIMEGSA,GABINETE NACIONAL PARA INTERRUPTORES SENTRON FXD
SIEMENS 150A CON ZAPATAS,CORRIENTE ALTERNA,PROTECCIONES,DIMEGSA,INTERRUPTOR TERMOMAGNETICO SENTRON FXD 150A CON ZAPATAS
MONITOR 1,TUBERIA,1,DIMEGSA,MONITOR METALICO EN ZINC DE 1
CONTRA 1,TUBERIA,1,DIMEGSA,CONTRATUERCA DE 1
CONDULET T 34,TUBERIA,,DIMEGSA,CONDULET SERIE 3 T 23 DE 3/4
CURVA PG 34,TUBERIA,,DIMEGSA,CODO CON ROSCA DE 3/4 PULG OMEGA
CABLE C.8 THW,CORRIENTE ALTERNA,CABLE,DIMEGSA,CABLE THW CAL 8 NEGRO INDIANA SLY296
ZAPATA C.6,CORRIENTE ALTERNA,CONECTORES,DIMEGSA,TERMINAL OJILLO DESNUDA CAL. 6 1/4 TCW052
ITM 2X70A,CORRIENTE ALTERNA,PROTECCIONES,DIMEGSA,INT 70 AMP 2 POLOS PTRS1B 001-FDR
GLANDULA N 1 ARGOS,TUBERIA,1,DIMEGSA,CONECTOR GLANDULA NYLON NEGRO 1 ARGOS
GLANDULA N 34 ARGOS,TUBERIA,,DIMEGSA,CONECTOR GLANDULA NYLON NEGRO 3/4 ARGOS
SIEMENS 125A CON ZAPATAS,CORRIENTE ALTERNA,PROTECCIONES,DIMEGSA,INTERRUPTOR TERMOMAGNETICO SENTRON ED6 125A 240 480 600VCA CON ZAPATAS
MONITOR 114,TUBERIA,1 1/4,DIMEGSA,MONITOR METALICO EN ZINC DE 1 1/4
CONTRA 114,TUBERIA,1 1/4,DIMEGSA,CONTRATUERCA DE 1 1/4
OMEGA 12,TUBERIA,,DIMEGSA,ABRAZADERA OMEGA DE 1/2
OMEGA 34,TUBERIA,,DIMEGSA,ABRAZADERA OMEGA DE 3/4
OMEGA 1,TUBERIA,1,DIMEGSA,ABRAZADERA OMEGA DE 1
CONDULET C 34,TUBERIA,,DIMEGSA,CONDULET SERIE 3 C 23 DE 3/4
CONDULET LL 1,TUBERIA,1,DIMEGSA,CONDULET SERIE 3 LL 33 DE 1
CONDULET LR 1,TUBERIA,1,DIMEGSA,CONDULET SERIE 3 LR 33 DE 1
CABLE C.10 THW INDIANA NEGRO,CORRIENTE ALTERNA,CABLE,DIMEGSA,CABLE THW CAL 10 NEGRO INDIANA SLY304
CINCHO 35cm NEGRO,CONSUMIBLES,CINCHOS,DIMEGSA,SUJETACABLE 14 PULG X 4.8 MM NEGRO
LICUAFLEX 34,TUBERIA,,DIMEGSA,TUBO LICUAFLEX DE 3/4 PULG 19MM
LICUAFLEX 114,TUBERIA,1 1/4,DIMEGSA,TUBO LICUAFLEX DE 1 1/4 PULG 32MM
CABLE C.10 THW INDIANA ROJO,CORRIENTE ALTERNA,CABLE,DIMEGSA,CABLE THW CAL 10 ROJO INDIANA SLY306
CABLE C.12 THW INDIANA BLANCO,CORRIENTE ALTERNA,CABLE,DIMEGSA,CABLE THW CAL 12 BLANCO INDIANA SLY309
CABLE C.14 THW INDIANA NEGRO,CORRIENTE ALTERNA,CABLE,DIMEGSA,CABLE THW CAL 14 NEGRO INDIANA SLY312
CABLE C.8 THW INDIANA ROJO,CORRIENTE ALTERNA,CABLE,DIMEGSA,CABLE THW CAL 8 ROJO INDIANA SLY300
CABLE C.8 THW INDIANA VERDE,CORRIENTE ALTERNA,CABLE,DIMEGSA,CABLE THW CAL 8 VERDE INDIANA SLY303
SIEMENS ED4 100A,CORRIENTE ALTERNA,PROTECCIONES,DIMEGSA,INTERRUPTOR TERMOMAGNETICO SENTRON ED4 100A 240 480VCA CON ZAPATAS
MONITOR 12,TUBERIA,,DIMEGSA,MONITOR METALICO EN ZINC DE 1/2
UNICANAL R 114,TUBERIA,1 1/4,DIMEGSA,ABRAZADERA UNICANAL DE 1 1/4 REFORZADO
CONDULET LL 114,TUBERIA,1 1/4,DIMEGSA,CONDULET SERIE 3 LL 43 DE 1 1/4
CONDULET LR 114,TUBERIA,1 1/4,DIMEGSA,CONDULET SERIE 3 LR 43 DE 1 1/4
CONDULET T 1,TUBERIA,1,DIMEGSA,CONDULET SERIE 3 T 33 DE 1
CONECTOR VARILLA,CORRIENTE ALTERNA,PROTECCIONES,DIMEGSA,CONECTOR P/VARILLA 5/8 T/ACERO
CONAJUST 12,TUBERIA,,DIMEGSA,CONECTOR AJUSTE C/OPRESOR 1/2 ACERO
UNICANAL 4X2 C.16,TUBERIA,SUJECION,DIMEGSA,UNICANAL DE 3 MTS 4X2 SENCILLO CAL 16
QUINTA T,MEDIA TENSION,CONECTORES,DIMEGSA,QUINTA TERMINAL
SIEMENS 175A CON ZAPATAS,CORRIENTE ALTERNA,PROTECCIONES,DIMEGSA,INTERRUPTOR TERMOMAGNETICO SENTRON FXD 175A CON ZAPATAS
VARILLA COOP,CORRIENTE ALTERNA,PROTECCIONES,DIMEGSA,VARILLA COOPER WELD 5/8 X 3 MTS
ATOPE C.1/0,CORRIENTE ALTERNA,CONECTORES,DIMEGSA,CONECTOR A TOPE DESNUDO CAL. 1/0 TNA708
ATOPE C.2,CORRIENTE ALTERNA,CONECTORES,DIMEGSA,CONECTOR A TOPE DESNUDO CAL. 2 TNA707
ATOPE C.2/0,CORRIENTE ALTERNA,CONECTORES,DIMEGSA,CONECTOR A TOPE DESNUDO CAL. 2/0 TNA709
ATOPE C.3/0,CORRIENTE ALTERNA,CONECTORES,DIMEGSA,CONECTOR A TOPE DESNUDO CAL. 3/0 TNA710
ATOPE C.6,CORRIENTE ALTERNA,CONECTORES,DIMEGSA,CONECTOR A TOPE DESNUDO CAL. 6 TNA705
ATOPE C.8,CORRIENTE ALTERNA,CONECTORES,DIMEGSA,CONECTOR A TOPE DESNUDO CAL. 8 TNA704
ARGOS 4X4X2,CORRIENTE ALTERNA,GABINETE,DIMEGSA,GABINETE METALICO 400X400X200 MM AGS
CONDULET C 114,TUBERIA,1 1/4,DIMEGSA,CONDULET SERIE 3 C 43 DE 1 1/4
CONDULET T 114,TUBERIA,1 1/4,DIMEGSA,CONDULET SERIE 3 T 43 DE 1 1/4
CINTA AISLANTE TEMFLEX AZUL,CONSUMIBLES,AISLANTES,DIMEGSA,CINTA DE PVC TEMFLEX 165 AZUL 019 X 18M 3M UU009468818
CINTA AISLANTE TEMFLEX NEGRO,CONSUMIBLES,AISLANTES,DIMEGSA,CINTA DE PVC TEMFLEX 165 NEGRO 19MM X 18M 3M UU009472471
CINTA AISLANTE TEMFLEX ROJO,CONSUMIBLES,AISLANTES,DIMEGSA,CINTA DE PVC TEMFLEX 165 ROJO 019 X 18M 3M UU009472679
CINTA AISLANTE TEMFLEX VERDE,CONSUMIBLES,AISLANTES,DIMEGSA,CINTA DE PVC TEMFLEX 165 VERDE 019 X 18M 3M UU009472620
TUBO PG 112,TUBERIA,1 1/2,DIMEGSA,TUBO CON ROSCA DE 1 1/2 PULG C/COPLE OMEGA
CURVA PVC 114,TUBERIA,1 1/4,DIMEGSA,CODO T/PESADO DE 1 1/4 PULG PVC
TUBO PVC 114,TUBERIA,1 1/4,DIMEGSA,TUBO T/PESADO DE 1 1/4 PULG PVC
LICUAFLEX 1,TUBERIA,1,DIMEGSA,TUBO LICUAFLEX DE 1 PULG 25MM
RIEL DIN,CONSUMIBLES,RIELES,DIMEGSA,RIEL DIN DE 2 MTS
GLANDULA N 12 DROF,TUBERIA,,DIMEGSA,CONECTOR GLANDULA NYLON NEGRO 1/2 DROF
SIEMENS 250A CON ZAPATAS,CORRIENTE ALTERNA,PROTECCIONES,DIMEGSA,INTERRUPTOR TERMOMAGNETICO SENTRON FXD 250A CON ZAPATAS
CENTRO DE CARGA 12P 3F,CORRIENTE ALTERNA,GABINETE,DIMEGSA,CENTRO DE CARGA TRIFASICO 12POLOS 125 A PTRS1B 002-FDT
CONDULET C 2,TUBERIA,2,DIMEGSA,CONDULET SERIE 3 C 63 DE 2
CONEX LICUA 2,TUBERIA,2,DIMEGSA,CONECTOR RECTO LICUATITE DE 2
CONDULET LB 2,TUBERIA,2,DIMEGSA,CONDULET SERIE 3 LB 63 DE 2
CONDULET LL 2,TUBERIA,2,DIMEGSA,CONDULET SERIE 3 LL 63 DE 2
CONDULET LR 2,TUBERIA,2,DIMEGSA,CONDULET SERIE 3 LR 63 DE 2
CONDULET T 2,TUBERIA,2,DIMEGSA,CONDULET SERIE 3 T 63 DE 2
CURVA AJUSTE 2,TUBERIA,2,DIMEGSA,CODO DE AJUSTE 2 PULG OMEGA
TUBO AJUSTE 2,TUBERIA,2,DIMEGSA,TUBO AJUSTE DE 2 PULG S/COPLE OMEGA
LICUAFLEX 2,TUBERIA,2,DIMEGSA,TUBO LICUAFLEX DE 2 PULG 50MM
ARGOS 4X3X2,CORRIENTE ALTERNA,GABINETE,DIMEGSA,GABINETE METALICO 400X300X200 MM AGS
SIEMENS 400A SIN ZAPATAS,CORRIENTE ALTERNA,PROTECCIONES,DIMEGSA,INTERRUPTOR TERMOMAGNETICO SENTRON JXD 400A NO INCLUYE ZAPATA
SIEMENS 500A,CORRIENTE ALTERNA,PROTECCIONES,DIMEGSA,INTERRUPTOR TERMOMAGNETICO SENTRON LXD 500A
ZAPATAS P SIEMENS 300A-600A,CORRIENTE ALTERNA,PROTECCIONES,DIMEGSA,ZAPATAS PARA INTERRUPTORES TERMOMAGNETICOS TIPO SENTRON JXD6 Y LXD6 ( 1 PZA)
CABLE C.3/0 THW,CORRIENTE ALTERNA,CABLE,DIMEGSA,CABLE THW CAL 3/0 NEGRO CONDULAC
OMEGA 114,TUBERIA,1 1/4,DIMEGSA,ABRAZADERA OMEGA DE 1 1/4
ZAPATA C.1/0 -14,CORRIENTE ALTERNA,CONECTORES,DIMEGSA,TERMINAL OJILLO DESNUDA CAL. 1/0 1/4 TCW081
ZAPATA C.2/0 - 14,CORRIENTE ALTERNA,CONECTORES,DIMEGSA,TERMINAL OJILLO DESNUDA CAL. 2/0 1/4 TCW091
ZAPATA C.2 - 38,CORRIENTE ALTERNA,CONECTORES,DIMEGSA,TERMINAL OJILLO DESNUDA CAL. 2 3/8 TCW073
ZAPATA C.3/0 - 38,CORRIENTE ALTERNA,CONECTORES,DIMEGSA,TERMINAL OJILLO DESNUDA CAL. 3/0 3/8 TCW102
MONITOR 112,TUBERIA,1 1/2,DIMEGSA,MONITOR METALICO EN ZINC DE 1 1/2
CONTRA 12,TUBERIA,,DIMEGSA,CONTRATUERCA DE 1/2
CONTRA 112,TUBERIA,1 1/2,DIMEGSA,CONTRATUERCA DE 1 1/2
UNICANAL R 2,TUBERIA,2,DIMEGSA,ABRAZADERA UNICANAL DE 2 REFORZADO
TERMOCONTRACTIL C.12-6,CONSUMIBLES,AISLANTES,DIMEGSA,TUBO TERMOCONTRACTIL CAL 12-6 120MTS 3M 80610677603
TERMOCONTRACTIL C.2-2/0,CONSUMIBLES,AISLANTES,DIMEGSA,TUBO TERMOCONTRACTIL CAL 2-2/0 120MTS 3M 80610677629
TERMOCONTRACTIL C.1-4/0,CONSUMIBLES,AISLANTES,DIMEGSA,TUBO TERMOCONTRACTIL CAL 1-4/0 120MTS 3M 80610693469
ZAPATA C.1/0 - 38,CORRIENTE ALTERNA,CONECTORES,DIMEGSA,TERMINAL OJILLO DESNUDA CAL. 1/0 3/8 TCW083
ZAPATA C.2 - 14,CORRIENTE ALTERNA,CONECTORES,DIMEGSA,TERMINAL OJILLO DESNUDA CAL. 2 1/4 TCW071
ZAPATA C.3/0 - 12,CORRIENTE ALTERNA,CONECTORES,DIMEGSA,TERMINAL OJILLO DESNUDA CAL. 3/0 1/2 TCW104
DERRANT 5X4X2,CORRIENTE ALTERNA,GABINETE,DIMEGSA,GABINETE METALICO 500X400X200 MM DNT
DERRANT 6X6X3,CORRIENTE ALTERNA,GABINETE,DIMEGSA,GABINETE METALICO 600X600X300 MM DNT
BASE M 5100 CUAD,MEDIA TENSION,BASE,DIMEGSA,BASE P WATHORIMETRO CUADRADA 100A C 5A MORDAZA NO INCLUYE CONECTOR C HAMMER RESI
CENTRO DE CARGA 6P,CORRIENTE ALTERNA,GABINETE,DIMEGSA,CENTRO DE CARGA 6P PTRS1B 002-FDT
GLANDULA N 1 DROF,TUBERIA,1,DIMEGSA,CONECTOR GLANDULA NYLON NEGRO 1 DROF
CONDULET C 1,TUBERIA,1,DIMEGSA,CONDULET SERIE 3 C 33 DE 1
CURVA PG 112,TUBERIA,1 1/2,DIMEGSA,CODO CON ROSCA DE 1 1/2 PULG OMEGA
CABLE NEUTRANEL 2+1 C.6,MEDIA TENSION,CABLE,DIMEGSA,CABLE NEUTRANEL 2X6+1X6 AAC/AAC 600V C DEL NORTE C020
CABLE NEUTRANEL 3+1 C.2,MEDIA TENSION,CABLE,DIMEGSA,CABLE NEUTRANEL 3X2+1X2 AAC/AAC 600V C DEL NORTE C041
UNICANAL 4X4 C.16,TUBERIA,SUJECION,DIMEGSA,UNICANAL DE 3 MTS 4X4 SENCILLO CAL 16
ITM 2X100A,CORRIENTE ALTERNA,PROTECCIONES,DIMEGSA,INT TERMOMAG QO 2P 100 A PTRS1B 001-FDR
GAB S701,CORRIENTE ALTERNA,GABINETE,DIMEGSA,GABINETE NACIONAL PARA INTERRUPTORES SENTRON JXD LXD
OMEGA 1,TUBERIA,1,DIMEGSA,ABRAZADERA TIPO OMEGA PARED GRUESA 1
OMEGA 114,TUBERIA,1 1/4,DIMEGSA,ABRAZADERA TIPO OMEGA PARED GRUESA 1 1/4
CURVA AJUSTE 34,TUBERIA,,DIMEGSA,CODO DE AJUSTE 3/4 PULG OMEGA
CURVA AJUSTE 1,TUBERIA,1,DIMEGSA,CODO DE AJUSTE 1 PULG OMEGA
CURVA AJUSTE 114,TUBERIA,1 1/4,DIMEGSA,CODO DE AJUSTE 1 1/4 PULG OMEGA
MONITOR 34 CMN,TUBERIA,,DIMEGSA,MONITOR METALICO 3/4
ITM 3X60A,CORRIENTE ALTERNA,PROTECCIONES,DIMEGSA,INT TERMOMAG QO 3P 60 A PTRS1B 001-FDR
BASE M 4100 RED,MEDIA TENSION,BASE,DIMEGSA,BASE WALTTHORIMETRO MONO 100A 4 TERMINALES 127V 202537
CINCHO T14 35cm BLANCO,CONSUMIBLES,CINCHOS,DIMEGSA,CINCHO BLANCO T14 35CM X 4.8M PTRPAF 001-CWD
CONAJUSTE 2,TUBERIA,2,DIMEGSA,CONECTOR AJUSTE DE 2
COPLE AJUSTE 2,TUBERIA,2,DIMEGSA,COPLE PARED DELGADA DE 2
CONECTOR L C.4 A 4/0,MEDIA TENSION,CONECTORES,DIMEGSA,CONECTOR COMPRESION L 4-4/0 VCL-66
FRENTE DE CC 32P,CORRIENTE ALTERNA,GABINETE,DIMEGSA,FRENTE DE 32 SOBREPONERPARA TAB NQ20 NF PTRSDT 002-FDT
CENTRO DE CARGA 30P 3F,CORRIENTE ALTERNA,GABINETE,DIMEGSA,INTERIOR NQ 225A 30P 3F4HZAPATAS PRINC PTRSDT 002-FDT
OMEGA 112,TUBERIA,1 1/2,DIMEGSA,ABRAZADERA OMEGA DE 1 1/2
UNICANAL R 112,TUBERIA,1 1/2,DIMEGSA,ABRAZADERA UNICANAL DE 1 1/2 REFORZADO
CONDULET C 112,TUBERIA,1 1/2,DIMEGSA,CONDULET SERIE 3 C 53 DE 1 1/2
CONEX LICUA 112,TUBERIA,1 1/2,DIMEGSA,CONECTOR RECTO LICUATITE DE 1 1/2
CONDULET LB 112,TUBERIA,1 1/2,DIMEGSA,CONDULET SERIE 3 LB 53 DE 1 1/2
CONDULET LL 112,TUBERIA,1 1/2,DIMEGSA,CONDULET SERIE 3 LL 53 DE 1 1/2
CONDULET LR 112,TUBERIA,1 1/2,DIMEGSA,CONDULET SERIE 3 LR 53 DE 1 1/2
CONDULET T 112,TUBERIA,1 1/2,DIMEGSA,CONDULET SERIE 3 T 53 DE 1 1/2
COPLE ROSCA 112,TUBERIA,1 1/2,DIMEGSA,COPLE CON ROSCA DE 1 1/2 PULG OMEGA
ZAPATA C.4 - 5/16,CORRIENTE ALTERNA,CONECTORES,DIMEGSA,TERMINAL OJILLO DESNUDA CAL. 4 5/16 TCW062
LICUAFLEX 112,TUBERIA,1 1/2,DIMEGSA,TUBO LICUAFLEX DE 1 1/2 PULG 38MM
CENTRO DE CARGA 3P,CORRIENTE ALTERNA,GABINETE,DIMEGSA,CENTRO DE CARGA 3 POLOSSOBREPONER COLOR GRIS PTRS1B 002-FDT
VARILLA COOP,CORRIENTE ALTERNA,PROTECCIONES,DIMEGSA,VARILLA COOPER CADWELD 5/8 X 3MTS C PROTOCOLO
UNICANAL 1,TUBERIA,1,DIMEGSA,ABRAZADERA UNICANAL PARED GRUESA 1
CURVA PVC 1,TUBERIA,1,DIMEGSA,CODO T/PESADO DE 1 PULG PVC
CONEC PVC 1,TUBERIA,1,DIMEGSA,CONECTOR T/PESADO DE 1 PULG PVC
CONEC PVC 114,TUBERIA,1 1/4,DIMEGSA,CONECTOR T/PESADO DE 1 1/4 PULG PVC
COPLE PVC 1,TUBERIA,1,DIMEGSA,COPLE T/PESADO DE 1 PULG PVC
COPLE PVC 114,TUBERIA,1 1/4,DIMEGSA,COPLE T/PESADO DE 1 1/4 PULG PVC
TUBO PVC 1,TUBERIA,1,DIMEGSA,TUBO T/PESADO DE 1 PULG PVC
SIEMENS 70A,CORRIENTE ALTERNA,PROTECCIONES,DIMEGSA,INTERRUPTOR TERMOMAGNETICO SENTRON ED6 70A 240 480 600VCA CON ZAPATAS
CINTA AISLANTE TEMFLEX BLANCA,CONSUMIBLES,AISLANTES,DIMEGSA,CINTA DE PVC TEMFLEX 165 BLANCO 019 X 18M 3M UU009472661
CONECTOR L C.6 A 1/0,MEDIA TENSION,CONECTORES,DIMEGSA,CONECTOR COMPRESION L 6-1/0 VCL-54
REDUCCION 34 A 12,TUBERIA,,DIMEGSA,REDUCCION BUSHING DE ALUMINIO RE21 19MM A 13MM
REDUCCION 1 A 34,TUBERIA,1,DIMEGSA,REDUCCION BUSHING DE ALUMINIO RE32 25MM A 19MM
REDUCCION 114 A 34,TUBERIA,1 1/4,DIMEGSA,REDUCCION BUSHING DE ALUMINIO RE42 32MM A 19MM
REDUCCION 114 A 1,TUBERIA,1 1/4,DIMEGSA,REDUCCION BUSHING DE ALUMINIO RE43 32MM A 25MM
REDUCCION 112 A 1,TUBERIA,1 1/2,DIMEGSA,REDUCCION BUSHING DE ALUMINIO RE53 38MM A 25MM
ITM 3X100A,CORRIENTE ALTERNA,PROTECCIONES,DIMEGSA,INT TERMOMAG QO 3P 100 A PTRS1B 001-FDR
ITM 3X20A,CORRIENTE ALTERNA,PROTECCIONES,DIMEGSA,INT 20 AMP 3 POLOS PTRS1B 001-FDR
ITM 3X40A,CORRIENTE ALTERNA,PROTECCIONES,DIMEGSA,INT 40 AMP 3 POLOS PTRS1B 001-FDR
CONECTOR COMPRES 1,TUBERIA,1,DIMEGSA,CONECTOR DE COMPRESION DE 1
CONECTOR COMPRES 2,TUBERIA,2,DIMEGSA,CONECTOR DE COMPRESION DE 2
COPLE COMPRESION 1,TUBERIA,1,DIMEGSA,COPLE A COMPRESION DE 1
TUBO AJUSTE 1,TUBERIA,1,DIMEGSA,TUBO AJUSTE DE 1 PULG S/COPLE OMEGA
COPLE ROSCADO 2,TUBERIA,2,DIMEGSA,COPLE CON ROSCA DE 2 PULG OMEGA
CINCHO T12 30cm NEGRO,CONSUMIBLES,CINCHOS,DIMEGSA,CINCHO NEGRO T12 30CM X 4.8M PTRPAF 001-CWD
MUFA 2,TUBERIA,2,DIMEGSA,MUFA CON ROSCA 2
COPLE COMPRESION 2,TUBERIA,2,DIMEGSA,COPLE A COMPRESION DE 2
ZAPATA LARGA C.3/0 - 12,CORRIENTE ALTERNA,CONECTORES,DIMEGSA,ZAPATA CANON CORTO 1 OJILLO CAL 3/0 1/2
CABLE C.2/0 THW INDIANA,CORRIENTE ALTERNA,CABLE,DIMEGSA,CABLE THW CAL 2/0 NEGRO INDIANA SLY346
DERRANT 6X5X25,CORRIENTE ALTERNA,GABINETE,DIMEGSA,GABINETE METALICO 600X500X250 MM DNT
DERRANT 8X8X3,CORRIENTE ALTERNA,GABINETE,DIMEGSA,GABINETE METALICO 800X800X300 MM DNT
CABLE DES C.8,CORRIENTE ALTERNA,CABLE,DIMEGSA,CABLE COBRE DESNUDO CAL 8
CABLE DES C.6,CORRIENTE ALTERNA,CABLE,DIMEGSA,CABLE COBRE DESNUDO CAL 6
UNICANAL 2,TUBERIA,2,DIMEGSA,ABRAZADERA UNICANAL DE 2
DERRANT 4X4X2,CORRIENTE ALTERNA,GABINETE,DIMEGSA,GABINETE METALICO 400X400X200 MM DNT
,,,,
PIJA GALVANIZADA 212,ESTRUCTURA,TORNILLERIA,TORNINOX,PIJA HEXAGONAL 1/4 X 2 1/2
PIJABROCA GALVANIZADA 212,ESTRUCTURA,TORNILLERIA,TORNINOX,PIJA BROCA HEX 14 X 1 1/2
