CODIGO,CATEGORIA,SUB CATEGORIA,PROVEDOR,DESCRIPCION
SEPARADOR ALUMINEX,ESTRUCTURA,PREFABRICADA,Exel Solar,NXT-AUA-30/46-2-UL 2 Abrazaderas universales de Aluminio para paneles de 30-46mm
KIT MC4 5PZ,CORRIENTE DIRECTA,CONECTORES,Exel Solar,"PV-10PC10-1500 10 Conectores MC4, 5 Hembras y 5 Macho cable 14-10 AWG, 1500 Vdc"
CAJA 100m FOTOVOLTAICO C.10 Wire,CORRIENTE DIRECTA,CABLE,Exel Solar,PV-C10-100M-BC Cable Fotovoltaico negro PV Wire caja 100 mts 10AWG 2000V 19 hilos
JA SOLAR 620 BIFA,PANEL SOLAR,BIFACIAL,Exel Solar,JA-M66D45-620/LB Panel Solar JA Solar N-Type Double Glass Bifacial de 620W
SOLIS S6 6K 2F,INVERSOR,BIFASICO,Exel Solar,"Solis-GR1P6K-S-S6 Inversor Solis de 6kW a 220V, 2 MPPT, 2 fases, incl. DC Disconnect."
MINIRIEL ALUMINEX,ESTRUCTURA,PREFABRICADA,Exel Solar,"NXT-MINI 2.0 Perfil Next-Rail Mini 2.0, Alu 6105-T6, incluye 4 tornillos NXT-SD-1/4X1"
SOLIS S5 20K LV,INVERSOR,TRIFASICO,Exel Solar,"Solis-GC20K-S5-LV Inversor Solis de 20kW a 220V, 3 MPPT, 3 fases, incl. DC Disconnect."
MEGAFUSE 125A VICTRON,INVERSOR,AISLADO,Exel Solar,VIC-MEGA-FUSE-125A/80V Fusible Mega Fuse de 125A para sistemas a 80V brinda proteccion a tu sistema Victron contra sobrecorrientes.
COMUNICACIÓN PYLONTECH,INVERSOR,AISLADO,Exel Solar,VIC-CAN-CABLE Cable de comunicación CAN 5m para bateria Pylontech
BATERIA PYLON 5.12kWh,INVERSOR,AISLADO,Exel Solar,"PYLON-FIDUS-5.12KWH Bateria de Litio FIDUS LFP de 5.12kWh, 51.2V, Crate 1C"
SOLIS S5 100K 3F,INVERSOR,TRIFASICO,Exel Solar,"Solis-GC100K-S5-HV Inversor Solis de 100kW, 3 fases. a 480V, 10 MPPT,"
SOLIS S6 3.6K 2F,INVERSOR,BIFASICO,Exel Solar,"Solis-GR1P3.6K-S-S6 Inversor Solis de 3.6kW a 220V, 2 MPPT, 2 fases, incl. DC Disconnect."
,,,,
,,,,
GABINETE 4U,CORRIENTE DIRECTA,GABINETE,NORLEK,GABINETE ABB 4 MODULOS
FUSIBLE 20A,CORRIENTE DIRECTA,FUSIBLE,NORLEK,FUSIBLE SOLAR 20A 1000V
Kit Mc4 2pz,CORRIENTE DIRECTA,CONECTORES,NORLEK,MC4 KIT
PORTAFUSIBLE 30A,CORRIENTE DIRECTA,FUSIBLE,NORLEK,PORTAFUSIBLE 1 POLO 30A 1000V
RISEN 550W MONO,PANEL SOLAR,MONOCRISTALINO,NORLEK,PANEL RISEN TITAN 550W
SOLIS S5 10K 2F,INVERSOR,BIFASICO,NORLEK,INV. SOLIS 10KW
SOLIS S5 3.6K 2F,INVERSOR,BIFASICO,NORLEK,INV. SOLIS 3.6KW
SOLIS S5 6K 2F,INVERSOR,BIFASICO,NORLEK,INV. SOLIS 6KW
SOLIS S5 5K 2F,INVERSOR,BIFASICO,NORLEK,INV. SOLIS 5KW
MONITOREO SOLIS S3,INVERSOR,ANTENA,NORLEK,SOLIS WIFI STICK S3
FUSIBLE ABB 20A,CORRIENTE DIRECTA,FUSIBLE,NORLEK,FUSIBLE ABB 1000VDC 20A
PORTAFUSIBLE ABB 32A,CORRIENTE DIRECTA,FUSIBLE,NORLEK,PORTAFUSIBLE ABB 1P 1000VDC32A
SOLIS S5 20K LV,INVERSOR,BIFASICO,NORLEK,"INV., SOLIS 20KW 220V"
GABINETE 8U,CORRIENTE DIRECTA,GABINETE,NORLEK,GABINETE ABB 8 MODULOS
CPS 3.6K 2F,INVERSOR,BIFASICO,NORLEK,INVERSOR CPS 3.6 KW
SOLIS S5 30K LV,INVERSOR,BIFASICO,NORLEK,INV.SOLIS 30KW 220V
SOLIS S5 8K 2F,INVERSOR,BIFASICO,NORLEK,INV. SOLIS 8KW 220V
MC4 M,CORRIENTE DIRECTA,CONECTORES,NORLEK,CONECTOR MC4 MACHO
MC4 H,CORRIENTE DIRECTA,CONECTORES,NORLEK,CONECTOR MC4 HEMBRA
SOLIS S5 15K LV 3F,INVERSOR,BIFASICO,NORLEK,INV. SOLIS 15KW 5G 3F 220V
SUPRESOR 1000V,CORRIENTE DIRECTA,FUSIBLE,NORLEK,SUPRESOR PICOS 2P 1000V
FUSIBLE ABB 15A,CORRIENTE DIRECTA,FUSIBLE,NORLEK,FUSIBLE ABB 1000VDC 15A
FUSIBLE 30A,CORRIENTE DIRECTA,FUSIBLE,NORLEK,FUSIBLE SOLAR 30A 1000V
RISEN 665 MONO,PANEL SOLAR,MONOCRISTALINO,NORLEK,PANEL RISEN TITAN 665W
ASTRON 450 MONO,PANEL SOLAR,MONOCRISTALINO,NORLEK,PANEL ASTRONERGY 450W MONO
FOTOVOLTAICO C.12 N,CORRIENTE DIRECTA,CABLE,NORLEK,CABLE SOLAR NEGRO 12 AWG 2KV
FOTOVOLTAICO C.12 R,CORRIENTE DIRECTA,CABLE,NORLEK,CABLE SOLAR ROJO 12 AWG 2KV
CONECTOR Y M,CORRIENTE DIRECTA,CONECTORES,NORLEK,CONECTOR MC4 EN Y MACHO
CONECTOR Y H,CORRIENTE DIRECTA,CONECTORES,NORLEK,CONECTOR MC4 EN Y HEMBRA
